x_ticks,power,power_low,power_up
6,0.01,0.009,0.013
6.5,0.151,0.141,0.162
7,0.317,0.31,0.323
7.5,0.486,0.474,0.493
8,0.641,0.633,0.649
8.5,0.755,0.75,0.748
9,0.77,0.763,0.773
9.5,0.676,0.67,0.687
10,0.535,0.527,0.544
10.5,0.393,0.386,0.404
11,0.229,0.221,0.24
11.5,0.116,0.113,0.121
12,0.056,0.055,0.058
12.5,0.032,0.031,0.034
13,0.014,0.014,0.015
13.5,0.007,0.007,0.008
14,0.005,,
14.5,0.004,,
15,0.005,,
15.5,0.006,,
16,0.006,,
15.5,0.005,0.004,0.005
15,0.004,,
14.5,0.005,,
14,0.009,,
13.5,0.019,0.019,0.02
13,0.035,0.034,0.035
12.5,0.062,0.062,0.063
12,0.154,0.15,0.159
11.5,0.278,0.264,0.283
11,0.388,0.377,0.405
10.5,0.423,0.409,0.431
10,0.676,0.669,0.681
9.5,0.752,0.744,0.761
9,0.779,0.773,0.79
8.5,0.683,0.675,0.688
8,0.567,0.555,0.573
7.5,0.412,0.4,0.423
7,0.256,0.241,0.26
6.5,0.08,0.075,0.083
6,0.016,0.011,0.018
5.5,0.035,0.034,0.036
5,0.096,0.094,0.099
4.5,0.158,0.155,0.16
4,0.255,0.25,0.257
3.5,0.312,0.307,0.316
3,0.364,0.361,0.368
2.5,0.405,0.404,0.409
2,0.373,0.371,0.374
1.5,0.343,0.342,0.343
1,0.288,0.286,0.289
0.5,0.243,0.243,0.245
0,0.2,0.198,0.201
-0.5,0.141,0.14,0.143
-1,0.114,0.113,0.115
-1.5,0.069,0.069,0.07
-2,0.043,0.043,0.044
-2.5,0.021,,
-3,0.013,,
-3.5,0.006,,
-4,0.003,,
-4.5,0.001,,
-5,0.001,,
-4.5,0.004,,
-4,0.009,,
-3.5,0.015,0.015,0.016
-3,0.025,,
-2.5,0.051,,
-2,0.071,0.071,0.072
-1.5,0.106,0.107,
-1,0.145,0.144,0.146
-0.5,0.196,0.196,0.198
0,0.246,0.245,0.249
0.5,0.296,0.293,0.298
1,0.329,0.328,0.331
1.5,0.366,0.363,0.368
2,0.371,0.37,0.372
2.5,0.344,0.342,0.348
3,0.283,0.281,0.285
3.5,0.209,0.206,0.211
4,0.143,0.141,0.146
4.5,0.081,0.078,0.082
5,0.052,0.05,0.056
5.5,0.023,0.02,0.024
6,0.148,0.145,0.154
6.5,0.24,0.232,0.243
7,0.359,0.354,0.364
7.5,0.502,0.499,0.511
8,0.644,0.641,0.649
8.5,0.676,0.674,0.679
9,0.622,0.616,0.626
9.5,0.563,0.557,0.566
10,0.4,0.394,0.403
10.5,0.222,0.22,0.228
11,0.146,0.143,0.15
11.5,0.074,0.074,0.077
12,0.029,0.028,0.029
12.5,0.013,,
13,0.007,,
13.5,0.006,,
14,0.006,,
14.5,0.006,,
15,0.006,,
15.5,0.005,,
16,0.004,,
15.5,0.005,,
15,0.005,,
14.5,0.005,,
14,0.006,,
13.5,0.009,,
13,0.017,,
12.5,0.036,0.035,0.036
12,0.064,0.062,0.066
11.5,0.143,0.141,0.147
11,0.226,0.223,0.23
10.5,0.409,0.405,0.419
10,0.517,0.514,0.53
9.5,0.582,0.579,0.585
9,0.686,0.681,0.69
8.5,0.741,0.739,0.743
8,0.712,0.709,0.714
7.5,0.575,0.572,0.582
7,0.446,0.441,0.451
6.5,0.331,0.324,0.335
6,0.184,0.176,0.196
5.5,0.086,0.079,0.096
5,0.062,0.06,0.064
4.5,0.123,,
4,0.177,0.174,0.178
3.5,0.231,0.229,0.233
3,0.291,0.288,0.292
2.5,0.328,0.325,0.33
2,0.351,0.348,0.352
1.5,0.342,0.341,0.343
1,0.316,0.313,0.318
0.5,0.273,0.272,0.274
0,0.24,0.239,0.241
-0.5,0.176,0.173,0.179
-1,0.137,0.135,0.139
-1.5,0.092,0.091,0.093
-2,0.06,0.06,0.061
-2.5,0.038,0.036,0.038
-3,0.019,,
-3.5,0.01,,
-4,0.006,,
-4.5,0.003,,
-5,0.003,,
-4.5,0.01,0.01,0.011
-4,0.015,,
-3.5,0.025,0.024,0.025
-3,0.044,0.044,0.045
-2.5,0.066,0.066,0.069
-2,0.093,,
-1.5,0.139,0.139,0.14
-1,0.179,0.178,0.18
-0.5,0.229,0.227,0.232
0,0.283,0.282,0.286
0.5,0.325,0.324,0.326
1,0.344,0.343,0.344
1.5,0.349,0.347,0.35
2,0.322,0.319,0.323
2.5,0.257,0.249,0.258
3,0.202,0.2,0.207
3.5,0.167,0.165,0.17
4,0.132,0.128,0.135
4.5,0.12,0.115,0.124
5,0.141,0.136,0.156
5.5,0.206,0.198,0.211
6,0.308,0.289,0.313
